benchmark_id,benchmark_name,resource_type,url,as_of
legalagentbench,LegalAgentBench,github,https://github.com/CSHaitao/LegalAgentBench,2026-08-03
lexeval,LexEval,github,https://github.com/CSHaitao/LexEval,2026-08-03
il-tur,IL-TUR,github,https://github.com/Exploration-Lab/IL-TUR,2026-08-03
ready-jurist-one,Ready Jurist One,github,https://github.com/FudanDISC/J1Bench,2026-08-03
maslegalbench,MASLegalBench,github,https://github.com/HKUST-KnowComp/MASLegalBench,2026-08-03
legalbench,LegalBench,github,https://github.com/HazyResearch/legalbench,2026-08-03
lextreme,LEXTREME,github,https://github.com/JoelNiklaus/LEXTREME,2026-08-03
swiltra-bench,SwiLTra-Bench,github,https://github.com/JoelNiklaus/SwissLegalTranslations,2026-08-03
lexam,LEXam,github,https://github.com/LEXam-Benchmark/LEXam,2026-08-03
milpac,Multilingual Indian Legal Parallel Corpus,github,https://github.com/Law-AI/MILPaC,2026-08-03
apex-agents-corporate-law,APEX-Agents — Corporate Lawyer,github,https://github.com/Mercor-Intelligence/archipelago,2026-08-03
canlegalragbench,CanLegalRAGBench,github,https://github.com/NLP-UBC/CanLegalRAGBench,2026-08-03
lecardv2,LeCaRDv2,github,https://github.com/THUIR/LeCaRDv2,2026-08-03
cuad,Contract Understanding Atticus Dataset,github,https://github.com/The-Atticus-Project/cuad,2026-08-03
acord,Atticus Clause Retrieval Dataset,github,https://github.com/TheAtticusProject/acord,2026-08-03
maud,Merger Agreement Understanding Dataset,github,https://github.com/TheAtticusProject/maud,2026-08-03
arablegaleval,ArabLegalEval,github,https://github.com/Thiqah/ArabLegalEval,2026-08-03
open-legal-answer-benchmark,Open Legal-Answer Benchmark,github,https://github.com/Vaquill-AI/open-legal-answer-benchmark,2026-08-03
clerc,CLERC,github,https://github.com/bohanhou14/CLERC,2026-08-03
fairlex,FairLex,github,https://github.com/coastalcph/fairlex,2026-08-03
casehold,CaseHOLD,github,https://github.com/coastalcph/lex-glue,2026-08-03
ecthr,ECtHR Tasks A/B,github,https://github.com/coastalcph/lex-glue,2026-08-03
ledgar,LEDGAR,github,https://github.com/coastalcph/lex-glue,2026-08-03
lexglue,LexGLUE,github,https://github.com/coastalcph/lex-glue,2026-08-03
redlinebench,RedlineBench,github,https://github.com/crosbylegal/redline-bench,2026-08-03
ledgar,LEDGAR,github,https://github.com/dtuggener/LEDGAR_provision_classification,2026-08-03
deonticbench,DeonticBench,github,https://github.com/guangyaodou/DeonticBench,2026-08-03
harvey-lab,Legal Agent Benchmark,github,https://github.com/harveyai/harvey-labs,2026-08-03
lrage,LRAGE,github,https://github.com/hoorangyee/LRAGE,2026-08-03
legal-rag-bench,Legal RAG Bench,github,https://github.com/isaacus-dev/legal-rag-bench,2026-08-03
mleb,Massive Legal Embedding Benchmark,github,https://github.com/isaacus-dev/mleb,2026-08-03
kcl,Korean Canonical Legal Benchmark,github,https://github.com/lbox-kr/kcl,2026-08-03
legaleval-q,LegalEval-Q,github,https://github.com/lyxx3rd/LegalEval-Q,2026-08-03
awesome-legal-nlp,awesome-legal-nlp,github,https://github.com/maastrichtlawtech/awesome-legal-nlp,2026-08-03
bsard,Belgian Statutory Article Retrieval Dataset,github,https://github.com/maastrichtlawtech/bsard,2026-08-03
lleqa,LLeQA,github,https://github.com/maastrichtlawtech/lleqa,2026-08-03
casehold,CaseHOLD,github,https://github.com/neelguha/legal-ml-datasets,2026-08-03
lawbench,LawBench,github,https://github.com/open-compass/LawBench,2026-08-03
prinzbench,prinzbench,github,https://github.com/prinz-ai/prinzbench,2026-08-03
contractnli,ContractNLI,github,https://github.com/stanfordnlp/contract-nli,2026-08-03
mslr,MSLR-Bench,github,https://github.com/yuwenhan07/MSLR-Bench,2026-08-03
